IGUUDC10 Index,
9/22/2017,3.045
9/25/2017,2.997
9/26/2017,3.008
9/27/2017,3.061
9/28/2017,3.05
9/29/2017,3.061
10/2/2017,3.06
10/3/2017,3.034
10/4/2017,3.032
10/5/2017,3.052
10/6/2017,3.074
10/10/2017,3.048
10/11/2017,3.043
10/12/2017,3.033
10/13/2017,2.983
10/16/2017,3.008
10/17/2017,3.017
10/18/2017,3.044
10/19/2017,3.023
10/20/2017,3.081
10/23/2017,3.059
10/24/2017,3.093
10/25/2017,3.117
10/26/2017,3.136
10/27/2017,3.096
10/30/2017,3.042
10/31/2017,3.064
11/1/2017,3.058
11/2/2017,3.043
11/3/2017,3.032
11/6/2017,3.027
11/7/2017,3.043
11/8/2017,3.071
11/9/2017,3.096
11/10/2017,3.166
11/13/2017,3.165
11/14/2017,3.153
11/15/2017,3.121
11/16/2017,3.147
11/17/2017,3.112
11/20/2017,3.13
11/21/2017,3.11
11/22/2017,3.063
11/24/2017,3.079
11/27/2017,3.072
11/28/2017,3.069
11/29/2017,3.114
11/30/2017,3.146
12/1/2017,3.098
12/4/2017,3.1
12/5/2017,3.084
12/6/2017,3.056
12/7/2017,3.088
12/8/2017,3.096
12/11/2017,3.109
12/12/2017,3.113
12/13/2017,3.057
12/14/2017,3.062
12/15/2017,3.062
12/18/2017,3.1
12/19/2017,3.158
12/20/2017,3.192
12/21/2017,3.176
12/22/2017,3.175
12/26/2017,3.16
12/27/2017,3.097
12/28/2017,3.113
12/29/2017,3.091
1/2/2018,3.154
1/3/2018,3.142
1/4/2018,3.158
1/5/2018,3.171
1/8/2018,3.174
1/9/2018,3.224
1/10/2018,3.213
1/11/2018,3.195
1/12/2018,3.217
1/16/2018,3.215
1/17/2018,3.252
1/18/2018,3.298
1/19/2018,3.34
1/22/2018,3.349
1/23/2018,3.308
1/24/2018,3.331
1/25/2018,3.291
1/26/2018,3.33
1/29/2018,3.358
1/30/2018,3.395
1/31/2018,3.397
2/1/2018,3.455
2/2/2018,3.493
2/5/2018,3.402
2/6/2018,3.479
2/7/2018,3.515
2/8/2018,3.515
2/9/2018,3.574
2/12/2018,3.581
2/13/2018,3.577
2/14/2018,3.656
2/15/2018,3.631
2/16/2018,3.599
2/20/2018,3.624
2/21/2018,3.674
2/22/2018,3.647
2/23/2018,3.609
2/26/2018,3.595
2/27/2018,3.636
2/28/2018,3.621
3/1/2018,3.591
3/2/2018,3.652
3/5/2018,3.661
3/6/2018,3.656
3/7/2018,3.657
3/8/2018,3.632
3/9/2018,3.669
3/12/2018,3.655
3/13/2018,3.648
3/14/2018,3.627
3/15/2018,3.635
3/16/2018,3.642
3/19/2018,3.663
3/20/2018,3.705
3/21/2018,3.702
3/22/2018,3.671
3/23/2018,3.665
3/26/2018,3.692
3/27/2018,3.616
3/28/2018,3.622
3/29/2018,3.58
4/2/2018,3.585
4/3/2018,3.631
4/4/2018,3.64
4/5/2018,3.656
4/6/2018,3.591
4/9/2018,3.588
4/10/2018,3.606
4/11/2018,3.591
4/12/2018,3.634
4/13/2018,3.622
4/16/2018,3.63
4/17/2018,3.62
4/18/2018,3.675
4/19/2018,3.72
4/20/2018,3.768
4/23/2018,3.781
4/24/2018,3.799
4/25/2018,3.834
4/26/2018,3.795
4/27/2018,3.764
4/30/2018,3.764
5/1/2018,3.787
5/2/2018,3.781
5/3/2018,3.763
5/4/2018,3.762
5/7/2018,3.771
5/8/2018,3.793
5/9/2018,3.81
5/10/2018,3.771
5/11/2018,3.758
5/14/2018,3.775
5/15/2018,3.854
5/16/2018,3.877
5/17/2018,3.887
5/18/2018,3.836
5/21/2018,3.832
5/22/2018,3.832
5/23/2018,3.784
5/24/2018,3.751
5/25/2018,3.714
5/29/2018,3.585
5/30/2018,3.644
5/31/2018,3.657
6/1/2018,3.706
6/4/2018,3.751
6/5/2018,3.719
6/6/2018,3.77
6/7/2018,3.719
6/8/2018,3.748
6/11/2018,3.761
6/12/2018,3.767
6/13/2018,3.777
6/14/2018,3.74
6/15/2018,3.741
6/18/2018,3.75
6/19/2018,3.731
6/20/2018,3.782
6/21/2018,3.778
6/22/2018,3.78
6/25/2018,3.777
6/26/2018,3.763
6/27/2018,3.717
6/28/2018,3.734
6/29/2018,3.738
7/2/2018,3.752
7/3/2018,3.708
7/5/2018,3.703
7/6/2018,3.682
7/9/2018,3.703
7/10/2018,3.698
7/11/2018,3.68
7/12/2018,3.675
7/13/2018,3.641
7/16/2018,3.666
7/17/2018,3.679
7/18/2018,3.691
7/19/2018,3.65
7/20/2018,3.694
7/23/2018,3.752
7/24/2018,3.718
7/25/2018,3.723
7/26/2018,3.726
7/27/2018,3.702
7/30/2018,3.72
7/31/2018,3.696
8/1/2018,3.726
8/2/2018,3.713
8/3/2018,3.674
8/6/2018,3.659
8/7/2018,3.69
8/8/2018,3.693
8/9/2018,3.668
8/10/2018,3.634
8/13/2018,3.641
8/14/2018,3.653
8/15/2018,3.621
8/16/2018,3.621
8/17/2018,3.617
8/20/2018,3.571
8/21/2018,3.59
8/22/2018,3.578
8/23/2018,3.584
8/24/2018,3.579
8/27/2018,3.606
8/28/2018,3.634
8/29/2018,3.647
8/30/2018,3.631
8/31/2018,3.633
9/4/2018,3.671
9/5/2018,3.674
9/6/2018,3.645
9/7/2018,3.704
9/10/2018,3.689
9/11/2018,3.728
9/12/2018,3.709
9/13/2018,3.705
9/14/2018,3.724
9/17/2018,3.719
9/18/2018,3.779
9/19/2018,3.801
9/20/2018,3.784
9/21/2018,3.777
9/24/2018,3.801
9/25/2018,3.811
9/26/2018,3.771
9/27/2018,3.766
9/28/2018,3.77
10/1/2018,3.792
10/2/2018,3.767
10/3/2018,3.858
10/4/2018,3.898
10/5/2018,3.931
10/9/2018,3.911
10/10/2018,3.914
10/11/2018,3.873
10/12/2018,3.895
10/15/2018,3.892
10/16/2018,3.894
10/17/2018,3.934
10/18/2018,3.926
10/19/2018,3.95
10/22/2018,3.956
10/23/2018,3.943
10/24/2018,3.881
10/25/2018,3.923
10/26/2018,3.88
10/29/2018,3.888
10/30/2018,3.93
10/31/2018,3.958
11/1/2018,3.948
11/2/2018,4.007
11/5/2018,3.988
11/6/2018,3.993
11/7/2018,3.979
11/8/2018,4.003
11/9/2018,3.958
11/13/2018,3.933
11/14/2018,3.927
11/15/2018,3.949
11/16/2018,3.913
11/19/2018,3.902
11/20/2018,3.933
11/21/2018,3.923
11/23/2018,3.903
11/26/2018,3.929
11/27/2018,3.935
11/28/2018,3.947
11/29/2018,3.925
11/30/2018,3.917
12/3/2018,3.882
12/4/2018,3.844
12/6/2018,3.853
12/7/2018,3.809
12/10/2018,3.81
12/11/2018,3.826
12/12/2018,3.834
12/13/2018,3.816
12/14/2018,3.796
12/17/2018,3.762
12/18/2018,3.729
12/19/2018,3.688
12/20/2018,3.736
12/21/2018,3.739
12/24/2018,3.699
12/26/2018,3.778
12/27/2018,3.755
12/28/2018,3.686
12/31/2018,3.654
1/2/2019,3.627
1/3/2019,3.558
1/4/2019,3.654
1/7/2019,3.674
1/8/2019,3.692
1/9/2019,3.651
1/10/2019,3.668
1/11/2019,3.624
1/14/2019,3.643
1/15/2019,3.648
1/16/2019,3.632
1/17/2019,3.634
1/18/2019,3.632
1/22/2019,3.588
1/23/2019,3.576
1/24/2019,3.521
1/25/2019,3.538
1/28/2019,3.528
1/29/2019,3.495
1/30/2019,3.459
1/31/2019,3.374
2/1/2019,3.425
2/4/2019,3.447
2/5/2019,3.41
2/6/2019,3.401
2/7/2019,3.389
2/8/2019,3.376
2/11/2019,3.398
2/12/2019,3.408
2/13/2019,3.435
2/14/2019,3.397
2/15/2019,3.398
2/19/2019,3.376
2/20/2019,3.382
2/21/2019,3.428
2/22/2019,3.39
2/25/2019,3.4
2/26/2019,3.375
2/27/2019,3.419
2/28/2019,3.443
3/1/2019,3.472
3/4/2019,3.438
3/5/2019,3.436
3/6/2019,3.411
3/7/2019,3.377
3/8/2019,3.365
3/11/2019,3.375
3/12/2019,3.333
3/13/2019,3.334
3/14/2019,3.35
3/15/2019,3.309
3/18/2019,3.322
3/19/2019,3.332
3/20/2019,3.246
3/21/2019,3.245
3/22/2019,3.143
3/25/2019,3.121
3/26/2019,3.125
3/27/2019,3.091
3/28/2019,3.105
3/29/2019,3.128
4/1/2019,3.212
4/2/2019,3.193
4/3/2019,3.228
4/4/2019,3.215
4/5/2019,3.204
4/8/2019,3.224
4/9/2019,3.203
4/10/2019,3.174
4/11/2019,3.188
4/12/2019,3.234
4/15/2019,3.221
4/16/2019,3.265
4/17/2019,3.269
4/18/2019,3.246
4/22/2019,3.275
4/23/2019,3.25
4/24/2019,3.201
4/25/2019,3.219
4/26/2019,3.18
4/29/2019,3.21
4/30/2019,3.189
5/1/2019,3.194
5/2/2019,3.255
5/3/2019,3.233
5/6/2019,3.206
5/7/2019,3.174
5/8/2019,3.207
5/9/2019,3.194
5/10/2019,3.21
5/13/2019,3.161
5/14/2019,3.171
5/15/2019,3.131
5/16/2019,3.147
5/17/2019,3.143
5/20/2019,3.179
5/21/2019,3.202
5/22/2019,3.168
5/23/2019,3.115
5/24/2019,3.124
5/28/2019,3.069
5/29/2019,3.086
5/30/2019,3.03
5/31/2019,2.959
6/3/2019,2.9
6/4/2019,2.933
6/5/2019,2.924
6/6/2019,2.934
6/7/2019,2.878
6/10/2019,2.925
6/11/2019,2.926
6/12/2019,2.9
6/13/2019,2.87
6/14/2019,2.862
6/17/2019,2.865
6/18/2019,2.826
6/19/2019,2.771
6/20/2019,2.717
6/21/2019,2.75
6/24/2019,2.694
6/25/2019,2.695
6/26/2019,2.743
6/27/2019,2.696
6/28/2019,2.678
7/1/2019,2.675
7/2/2019,2.637
7/3/2019,2.602
7/5/2019,2.698
7/8/2019,2.716
7/9/2019,2.739
7/10/2019,2.719
7/11/2019,2.775
7/12/2019,2.759
7/15/2019,2.731
7/16/2019,2.763
7/17/2019,2.701
7/18/2019,2.669
7/19/2019,2.686
7/22/2019,2.68
7/23/2019,2.684
7/24/2019,2.668
7/25/2019,2.691
7/26/2019,2.69
7/29/2019,2.684
7/30/2019,2.696
7/31/2019,2.668
8/1/2019,2.545
8/2/2019,2.53
8/5/2019,2.472
8/6/2019,2.445
8/7/2019,2.462
8/8/2019,2.447
8/9/2019,2.475
8/12/2019,2.402
8/13/2019,2.453
8/14/2019,2.384
8/15/2019,2.305
8/16/2019,2.324
8/19/2019,2.364
8/20/2019,2.305
8/21/2019,2.324
8/22/2019,2.345
8/23/2019,2.266
8/26/2019,2.292
8/27/2019,2.231
8/28/2019,2.235
8/29/2019,2.257
8/30/2019,2.248
9/3/2019,2.237
9/4/2019,2.216
9/5/2019,2.324
9/6/2019,2.304
9/9/2019,2.38
9/10/2019,2.479
9/11/2019,2.487
